,0,1
111,Computer and information systems managers,managers
112,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",trade and technical teachers
113,Budget analysts,computer analysts
114,"Metal workers and plastic workers, all other",government workers
115,Social and human service assistants,social workers
116,Glaziers,lawyers
117,"Paper goods machine setters, operators, and tenders",trade and technical teachers
118,Lodging managers,managers
119,Human resources workers,human resources
120,"Nursing, psychiatric, and home health aides",nursing
121,Marine engineers and naval architects,engineers
122,Packaging and filling machine operators and tenders,trade and technical teachers
123,Computer control programmers and operators,trade and technical teachers
124,Chemical technicians,technicians
125,"Aircraft structure, surfaces, rigging, and systems assemblers",trade and technical teachers
126,Other transportation workers,government workers
127,"Computer, automated teller, and office machine repairers",trade and technical teachers
128,Environmental scientists and geoscientists,scientists
129,Radiation therapists,pilots
130,"Broadcast and sound engineering technicians and radio operators, and media and communication equipment workers, all other",government workers
131,Materials engineers,engineers
132,Couriers and messengers,engineers
133,"Musicians, singers, and related workers",musicians
134,"Miscellaneous extraction workers, including roof bolters and helpers",government workers
135,Water and wastewater treatment plant and system operators,trade and technical teachers
136,Financial managers,managers
137,"Office machine operators, except computer",computer programmers
138,Print binding and finishing workers,government workers
139,Etchers and engravers,teachers
140,Licensed practical and licensed vocational nurses,trade and technical teachers
141,Education administrators,administrators
142,Preschool and kindergarten teachers,teachers
143,Financial analysts,system analysts
144,Clergy,clergy
145,Embalmers and funeral attendants,farmers
146,Occupational therapy assistants and aides,administrators and managers
147,"Geological and petroleum technicians, and nuclear technicians",technicians
148,"Textile cutting machine setters, operators, and tenders",trade and technical teachers
149,Loan interviewers and clerks,clergy
150,Credit analysts,computer analysts
151,Biological scientists,scientists
152,Automotive glass installers and repairers,administrators and managers
153,Biomedical and agricultural engineers,engineers
154,Transportation security screeners,transportation operatives
155,Furniture finishers,firefighters
156,Brokerage clerks,clergy
157,"Athletes, coaches, umpires, and related workers",athletes
158,"Coin, vending, and amusement machine servicers and repairers",trade and technical teachers
159,"Hairdressers, hairstylists, and cosmetologists",trade and technical teachers
160,Gaming managers,managers
161,"Computer occupations, all other",computer programmers
162,Insurance sales agents,insurance agents
163,Counselors,counselors
164,Bill and account collectors,actors
165,Paralegals and legal assistants,paralegals
166,"Petroleum, mining and geological engineers, including mining safety engineers",trade and technical teachers
167,"Military, rank not specified",Military
168,Urban and regional planners,strategic planners
169,Maids and housekeeping cleaners,bookkeeping
170,Computer and information research scientists,scientists
171,Cutting workers,personal service workers
172,Architectural and engineering managers,managers
173,Personal care aides,child care
174,Stock clerks and order fillers,clergy
175,"Tax examiners and collectors, and revenue agents",agents
176,"News analysts, reporters and correspondents",trade and technical teachers
177,"Lawyers, and judges, magistrates, and other judicial workers",government workers
178,"Maintenance workers, machinery",government workers
179,"Communications equipment operators, all other",actors
180,Chemical engineers,engineers
181,Tax preparers,farmers
182,Sheet metal workers,steelworkers
183,Parts salespersons,Artists
184,"Weighers, measurers, checkers, and samplers, recordkeeping",trade and technical teachers
185,"Religious workers, all other",religious workers
186,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",trade and technical teachers
187,Animal control workers,social workers
188,Roofers,professors
189,Residential advisors,auditors
190,Painters and paperhangers,painters
191,"Laborers and freight, stock, and material movers, hand",laborers
192,Dental hygienists,dental hygienists
193,"Court, municipal, and license clerks",waiters and waitresses
194,Radio and telecommunications equipment installers and repairers,trade and technical teachers
195,Human resources managers,managers
196,Retail salespersons,clerical supervisors
197,"Miscellaneous food preparation and serving related workers, including dining room and cafeteria attendants and bartender helpers",government workers
198,"Miscellaneous managers, including funeral service managers and postmasters and mail superintendents",trade and technical teachers
199,Management analysts,managers
200,Computer support specialists,computer specialists
201,Teacher assistants,teachers
202,Artists and related workers,Artists
203,"Electrical, electronics, and electromechanical assemblers",trade and technical teachers
204,Physical therapist assistants and aides,dental assistants
205,"Molders, shapers, and casters, except metal and plastic",trade and technical teachers
206,"Property, real estate, and community association managers",managers
207,Driver/sales workers and truck drivers,drivers
208,Fence erectors,actors
209,Photographers,photographers
210,Nurse practitioners and nurse midwives,waiters and waitresses
211,First-line supervisors of correctional officers,financial officers
212,Billing and posting clerks,clergy
213,First-line supervisors of office and administrative support workers,government workers
214,Real estate brokers and sales agents,agents
215,Miscellaneous personal appearance workers,government workers
216,Dispatchers,chefs
217,"Financial clerks, all other",financial officers
218,Gaming cage workers,child care workers
219,Pest control workers,craft workers
220,"Human resources assistants, except payroll and timekeeping",human resources
